상품명,할인율,가격,좋아요,평점,리뷰,etc,상품번호
리얼 와이드 벨티드 슬랙스 [미디엄 그레이],79%,"9,900원",1.4천,4.9,(2천+),,3765920
시티 레저 NP 사이드 지퍼 파라슈트 팬츠 [블루 그레이],20%,"71,890원",1.5천,,,,4676422
쓰리 턱 세미 벌룬 슬랙스 [차콜 그레이],79%,"9,900원",543,4.9,(1천+),,3765928
빅 브러쉬 엑스트라 와이드 데님 팬츠 [러스티 스카이 블루],10%,"51,190원",3.4천,4.9,(474),,3859522
원 턱 롱 버뮤다 스웨트 팬츠 [미디엄 그레이],15%,"33,890원",703,5.0,(15),,4911480
시티 레저 CN 오버사이즈 발마칸 트렌치 코트 [그레이],15%,"127,390원",544,5.0,(3),,4845467
세미 와이드 슬릿 히든 밴딩 슬랙스 [미디엄 그레이],76%,"9,900원",257,4.8,(3천+),,3765290
라이트웨이트 크루 삭스 7팩 [화이트],35%,"12,890원",14만,4.9,(9만+),,991339
리얼 와이드 벨티드 슬랙스 [미디엄 그레이],40%,"28,690원",1.2만,4.9,(2천+),,2116439
휩코드 플레어 히든 밴딩 슬랙스 [블랙],10%,"53,890원",1.6천,4.8,(125),,4663950
세미 와이드 히든 밴딩 슬랙스 [블랙],40%,"23,890원",12만,4.8,(11만),,1149329
레플리카 퍼티그 팬츠 [카키],30%,"30,690원",3.7만,4.9,(2만+),,1627892
리얼 와이드 히든 밴딩 슬랙스 [블랙],10%,"39,490원",4.3만,4.9,(2만+),,1168922
원 턱 레귤러 핏 치노 팬츠 [베이지],20%,"33,490원",2.9만,4.8,(1만+),,2069525
가먼트 다잉 와이드 데님 팬츠 [베이지],,"59,900원",3.0천,4.9,(445),,3779132
레귤러 핏 데님 팬츠 [크림],25%,"37,390원",1.4만,4.8,(8천+),,1322222
시티 레저 CN 와이드 벨티드 파라슈트 팬츠 [블랙],40%,"38,290원",1.9만,4.9,(3천+),,3404705
사피아노 신세틱 레더 벨트_30mm,20%,"12,690원",12만,4.8,(17만),,1220731
셀비지 레귤러 핏 데님 팬츠 [딥 인디고],25%,"67,390원",5.2천,4.7,(893),,2823293
와이드 히든 밴딩 슬랙스 [네이비],30%,"29,290원",3.9천,4.9,(2천+),,1222182
나일론 파라슈트 팬츠 [블랙],20%,"39,890원",7.8천,4.9,(1천+),,3411538
젠더리스 와이드 밴딩 슬랙스 [블랙],20%,"31,890원",1.1만,4.9,(3천+),,2568732
[프리미엄] KIPAS 와이드 데님 팬츠 [라이트 인디고],30%,"55,890원",3.9천,4.9,(444),,3051668
라이트 플레인 원 턱 와이드 히든 밴딩 슬랙스 [라이트 베이지],10%,"44,890원",37,,,,4827198
쿨 터치 세미 와이드 히든 밴딩 슬랙스 [그레이],50%,"20,890원",1.2천,4.9,(144),,3823298
[로우로우 컬래버] R TRUNK LITE_20인치+트래블 파우치 4종 세트,10%,"183,490원",265,5.0,(29),,4790310
시티 레저 와이드 벨티드 디태처블 카고 팬츠 [머드 그레이],20%,"71,890원",615,5.0,(41),,4676425
데님 라이크 오피서 팬츠 [딥 인디고],15%,"48,290원",2.3천,4.9,(308),,4210111
와이드 히든 밴딩 슬랙스 [그레이],30%,"29,290원",8.2천,4.9,(4천+),,1675529
릴렉스드 베이식 블레이저 [블랙],40%,"49,090원",7.6만,4.9,(4만+),,1558197
스트레이트 데님 팬츠 [라이트 인디고],40%,"29,890원",4.9만,4.9,(2만+),,2028327
코튼 딥 턱 와이드 밴딩 팬츠 [베이지],10%,"42,190원",6.1천,4.9,(533),,3758185
